aphia_id,stock,sd,year,abundance_index,unit,source
126417,her.27.25-2932,25-27+28.2+29+32,2000,83056,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2006,74433,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2007,37650,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2009,51018,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2010,46331,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2011,46213,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2012,54244,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2013,60519,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2014,79860,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2015,116661,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2016,88025,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2017,68079,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2018,91182,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2019,43101,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2020,51466,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2021,47709,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2022,38611,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2000,179117,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2006,327851,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2007,188002,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2009,261814,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2010,137720,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2011,155994,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2012,212116,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2013,122484,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2014,105288,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2015,230152,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2016,205802,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2017,236228,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2018,141317,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2019,111898,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2020,141614,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2021,241994,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
126425,spr.27.22-32,22-27+28.2+29+32,2022,129385,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.12 BIAS autumn acoustic age1+ tuning index
