"predator_id","prey_id","quality_code","source"
"SP001","SP012",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP014",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP023",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP028",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP032",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP033",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP036",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP045",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP046",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP047",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP048",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP049",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP050",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP051",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP053",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP054",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP055",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP057",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP059",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP061",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP062",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP064",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP065",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP068",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP069",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP071",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP072",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP073",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP074",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP075",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP077",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP078",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP079",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP080",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP081",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP082",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP083",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP084",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP085",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP086",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP087",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP088",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP089",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP092",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP093",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP094",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP097",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP099",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP100",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP101",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP102",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP106",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP126",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP128",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP129",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP005",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP010",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP014",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP037",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP041",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP042",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP043",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP056",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP057",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP058",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP074",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP083",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP098",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP104",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP136",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP005",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP008",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP010",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP012",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP018",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP023",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP029",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP030",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP032",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP033",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP047",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP052",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP063",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP091",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP014",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP015",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP016",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP036",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP043",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP045",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP055",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP058",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP062",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP063",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP065",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP068",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP074",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP083",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP087",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP089",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP092",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP094",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP097",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP099",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP104",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP105",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP136",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP010",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP014",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP041",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP042",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP043",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP056",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP058",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP074",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP083",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP104",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP136",1,"Kortsch et al. 2015 (Dryad)"
"SP006","SP012",1,"Kortsch et al. 2015 (Dryad)"
"SP006","SP023",1,"Kortsch et al. 2015 (Dryad)"
"SP006","SP032",1,"Kortsch et al. 2015 (Dryad)"
"SP006","SP033",1,"Kortsch et al. 2015 (Dryad)"
"SP007","SP043",1,"Kortsch et al. 2015 (Dryad)"
"SP007","SP074",1,"Kortsch et al. 2015 (Dryad)"
"SP007","SP103",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP010",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP136",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP010",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP012",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP014",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP015",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP016",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP019",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP022",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP024",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP026",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP027",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP029",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP030",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP031",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP032",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP033",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP037",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP039",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP045",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP047",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP048",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP051",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP052",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP054",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP062",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP064",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP065",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP074",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP076",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP079",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP080",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP082",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP084",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP085",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP090",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP091",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP093",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP094",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP096",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP099",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP100",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP101",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP102",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP104",1,"Kortsch et al. 2015 (Dryad)"
"SP009","SP136",1,"Kortsch et al. 2015 (Dryad)"
"SP010","SP010",1,"Kortsch et al. 2015 (Dryad)"
"SP010","SP014",1,"Kortsch et al. 2015 (Dryad)"
"SP010","SP015",1,"Kortsch et al. 2015 (Dryad)"
"SP010","SP016",1,"Kortsch et al. 2015 (Dryad)"
"SP010","SP023",1,"Kortsch et al. 2015 (Dryad)"
"SP010","SP032",1,"Kortsch et al. 2015 (Dryad)"
"SP010","SP033",1,"Kortsch et al. 2015 (Dryad)"
"SP011","SP018",1,"Kortsch et al. 2015 (Dryad)"
"SP012","SP024",1,"Kortsch et al. 2015 (Dryad)"
"SP012","SP112",1,"Kortsch et al. 2015 (Dryad)"
"SP012","SP142",1,"Kortsch et al. 2015 (Dryad)"
"SP012","SP143",1,"Kortsch et al. 2015 (Dryad)"
"SP013","SP018",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP011",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP013",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP018",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP021",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP023",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP024",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP025",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP034",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP035",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP037",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP038",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP039",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP040",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP041",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP042",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP055",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP066",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP085",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP096",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP108",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP112",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP121",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP126",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP133",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP138",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP142",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP143",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP148",1,"Kortsch et al. 2015 (Dryad)"
"SP014","SP153",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP013",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP021",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP023",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP024",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP025",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP034",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP035",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP037",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP039",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP040",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP041",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP042",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP066",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP067",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP085",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP096",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP108",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP109",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP112",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP120",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP121",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP126",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP133",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP138",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP140",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP142",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP148",1,"Kortsch et al. 2015 (Dryad)"
"SP015","SP153",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP013",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP018",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP021",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP023",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP024",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP025",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP034",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP035",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP037",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP039",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP040",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP041",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP042",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP066",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP085",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP096",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP108",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP110",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP112",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP117",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP118",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP120",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP121",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP123",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP126",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP133",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP138",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP139",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP140",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP142",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP143",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP148",1,"Kortsch et al. 2015 (Dryad)"
"SP016","SP153",1,"Kortsch et al. 2015 (Dryad)"
"SP017","SP037",1,"Kortsch et al. 2015 (Dryad)"
"SP017","SP119",1,"Kortsch et al. 2015 (Dryad)"
"SP017","SP142",1,"Kortsch et al. 2015 (Dryad)"
"SP017","SP147",1,"Kortsch et al. 2015 (Dryad)"
"SP017","SP148",1,"Kortsch et al. 2015 (Dryad)"
"SP019","SP018",1,"Kortsch et al. 2015 (Dryad)"
"SP020","SP018",1,"Kortsch et al. 2015 (Dryad)"
"SP022","SP018",1,"Kortsch et al. 2015 (Dryad)"
